countries,Code,regions
Afghanistan,AFG,Asia
Aland Islands,ALA,Europe
Albania,ALB,Europe
Algeria,DZA,Africa
American Samoa,ASM,Oceania
Andorra,AND,Europe
Angola,AGO,Africa
Anguilla,AIA,North America
Antigua and Barbuda,ATG,North America
Argentina,ARG,South America
Armenia,ARM,Asia
Aruba,ABW,North America
Australia,AUS,Oceania
Austria,AUT,Europe
Austria-Hungary,OWID_AUH,Europe
Azerbaijan,AZE,Asia
Bahamas,BHS,North America
Bahrain,BHR,Asia
Bangladesh,BGD,Asia
Barbados,BRB,North America
Belarus,BLR,Europe
Belgium,BEL,Europe
Belize,BLZ,North America
Benin,BEN,Africa
Bermuda,BMU,North America
Bhutan,BTN,Asia
Bolivia,BOL,South America
Bonaire Sint Eustatius and Saba,BES,North America
Bosnia and Herzegovina,BIH,Europe
Botswana,BWA,Africa
Brazil,BRA,South America
British Indian Ocean Territory,IOT,Asia
British Virgin Islands,VGB,North America
Brunei,BRN,Asia
Bulgaria,BGR,Europe
Burkina Faso,BFA,Africa
Burundi,BDI,Africa
Cambodia,KHM,Asia
Cameroon,CMR,Africa
Canada,CAN,North America
Cape Verde,CPV,Africa
Cayman Islands,CYM,North America
Central African Republic,CAF,Africa
Chad,TCD,Africa
Chile,CHL,South America
China,CHN,Asia
Christmas Island,CXR,Asia
Cocos Islands,CCK,Asia
Colombia,COL,South America
Comoros,COM,Africa
Congo,COG,Africa
Cook Islands,COK,Oceania
Costa Rica,CRI,North America
Cote d'Ivoire,CIV,Africa
Croatia,HRV,Europe
Cuba,CUB,North America
Curacao,CUW,North America
Cyprus,CYP,Europe
Czechia,CZE,Europe
Czechoslovakia,OWID_CZS,Europe
Democratic Republic of Congo,COD,Africa
Democratic Republic of Vietnam,,Asia
Denmark,DNK,Europe
Djibouti,DJI,Africa
Dominica,DMA,North America
Dominican Republic,DOM,North America
Duchy of Modena and Reggio,,Europe
Duchy of Parma and Piacenza,,Europe
East Germany,OWID_GDR,Europe
East Timor,TLS,Asia
Ecuador,ECU,South America
Egypt,EGY,Africa
El Salvador,SLV,North America
Equatorial Guinea,GNQ,Africa
Eritrea,ERI,Africa
Estonia,EST,Europe
Eswatini,SWZ,Africa
Ethiopia,ETH,Africa
Ethiopia (former),OWID_ERE,Africa
Falkland Islands,FLK,South America
Faroe Islands,FRO,Europe
Federal Republic of Central America,,North America
Fiji,FJI,Oceania
Finland,FIN,Europe
France,FRA,Europe
French Guiana,GUF,South America
French Polynesia,PYF,Oceania
Gabon,GAB,Africa
Gambia,GMB,Africa
Georgia,GEO,Asia
Germany,DEU,Europe
Ghana,GHA,Africa
Gibraltar,GIB,Europe
Grand Duchy of Baden,,Europe
Grand Duchy of Tuscany,,Europe
Great Colombia,,South America
Greece,GRC,Europe
Greenland,GRL,North America
Grenada,GRD,North America
Guadeloupe,GLP,North America
Guam,GUM,Oceania
Guatemala,GTM,North America
Guernsey,GGY,Europe
Guinea,GIN,Africa
Guinea-Bissau,GNB,Africa
Guyana,GUY,South America
Haiti,HTI,North America
Honduras,HND,North America
Hong Kong,HKG,Asia
Hungary,HUN,Europe
Iceland,ISL,Europe
India,IND,Asia
Indonesia,IDN,Asia
Iran,IRN,Asia
Iraq,IRQ,Asia
Ireland,IRL,Europe
Isle of Man,IMN,Europe
Israel,ISR,Asia
Italy,ITA,Europe
Jamaica,JAM,North America
Japan,JPN,Asia
Jersey,JEY,Europe
Jordan,JOR,Asia
Kazakhstan,KAZ,Asia
Kenya,KEN,Africa
Kingdom of Bavaria,,Europe
Kingdom of Sardinia,,Europe
Kingdom of Saxony,,Europe
Kingdom of Wurttemberg,,Europe
